word,vocab_rank,semantic_rank,zone,pc1,pc2
งานบุญ,15633,338,yellow,-0.10105905830919981,-0.04864576338630498
ตื้นเขิน,15634,2158,red,-0.1305885493757996,-0.14319652084323348
ทรราช,15635,44209,red,-0.09882132492516117,-0.02546443879702856
ทองหลาง,15636,6762,red,-0.03996237814458211,0.056927316900563796
ทำความรู้จัก,15637,18108,red,-0.15133478163702305,-0.04973385695361876
ทิตย์,15638,32760,red,0.002928675110463609,0.18570377284455836
บ๋าว,15639,10382,red,-0.07694066360961231,0.07718510189045348
ผลัดเปลี่ยน,15640,3249,red,-0.1464655889121049,-0.08894644896877427
ผ้าไตร,15641,26546,red,-0.040570796277393815,-0.035996727190280096
พยอม,15642,23365,red,-0.04796624755890771,0.10299913650852634
พระประยูรญาติ,15643,38902,red,-0.10459648938389553,-0.0952360654675415
พิธีแต่งงาน,15644,4322,red,-0.11380340402760898,-0.08155200096336021
พิล,15645,29107,red,-0.07893279995588798,0.17657732720736868
ฟู้,15646,14529,red,-0.10536923316827926,0.11501641967231156
รอยร้าว,15647,27347,red,-0.11570416575915836,-0.15502166504499992
ลอยกระทง,15648,586,yellow,-0.10417827292513956,-0.09774832135291354
สเบิร์ก,15649,12102,red,-0.07534374993967762,0.21341279696377582
หร,15650,32220,red,-0.0545437580231894,0.15520106017977356
อนส์,15651,10668,red,-0.08438837634753434,0.09855587809979549
อนุโมทนา,15652,31383,red,-0.07841354742818245,-0.030833601941875902
ออโรรา,15653,21733,red,-0.11884915378399996,0.002066631270703905
อัคคี,15654,9796,red,0.007272100406135732,0.04901794579811321
